"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
6.05857734495696e-28,4.32837843091707,0.983,0.435,1.18463362825943e-23,"MLLT11","Up in Neurons"
7.78869648183707e-28,4.64479785026756,0.798,0.13,1.5229238230936e-23,"DPYSL5","Up in Neurons"
9.97260048404975e-28,-5.82374703261026,0.076,0.942,1.94994257264625e-23,"LRIG1","Up in Astrocytes"
1.57370732081221e-27,-4.40231707449588,0,0.609,3.07706992438411e-23,"SNCG","Up in Astrocytes"
1.69742079291942e-27,-4.94867547675115,0,0.594,3.31896687639534e-23,"XAF1","Up in Astrocytes"
2.35395786390874e-27,5.37932001898865,0.798,0.203,4.60269381130076e-23,"SYNE2","Up in Neurons"
2.60967822790893e-27,-6.06043262720589,0.067,0.986,5.10270383903033e-23,"FAM107A","Up in Astrocytes"
2.92390480841266e-27,-4.35970472038839,0.008,0.42,5.71711107188928e-23,"TMBIM1","Up in Astrocytes"
4.08748247861165e-27,-3.66791983817258,0.008,0.667,7.99225449042935e-23,"TTPA","Up in Astrocytes"
7.49939154785334e-27,5.16544527681072,0.546,0.058,1.46635602935176e-22,"FRMD4B","Up in Neurons"
1.69812436145305e-26,-4.64975139040813,0,0.58,3.32034256394914e-22,"KCNJ16","Up in Astrocytes"
2.29485012576164e-26,-4.18719907183288,0.008,0.319,4.48712045090173e-22,"EYA1","Up in Astrocytes"
2.30211355863545e-26,-4.95924029538699,0.017,0.565,4.5013226411999e-22,"GNA14","Up in Astrocytes"
2.93538480496263e-26,-4.70575390213571,0.462,0.986,5.73955790914343e-22,"ATP1B2","Up in Astrocytes"
3.99933687369613e-26,-5.53865050001865,0.059,0.87,7.81990338913805e-22,"GPRC5B","Up in Astrocytes"
5.9574054704098e-26,1.75236105210582,0.908,0.333,1.16485149162923e-21,"RPL18A","Up in Neurons"
5.97060758281177e-26,-4.66984304536763,0.008,0.58,1.16743290066718e-21,"FAH","Up in Astrocytes"
7.19973355803947e-26,-3.10530718338802,0.328,0.971,1.40776390260346e-21,"NBPF10","Up in Astrocytes"
7.3295079970505e-26,-4.07346788976359,0.017,0.623,1.43313869866328e-21,"NWD1","Up in Astrocytes"
9.43476326346242e-26,-5.4171090031661,0.151,0.942,1.84477926090481e-21,"TIMP3","Up in Astrocytes"
2.7082577309121e-25,-4.76713506684615,0.008,0.58,5.29545634125243e-21,"FAM167A","Up in Astrocytes"
3.75652042445999e-25,-5.42201020018378,0.034,0.899,7.34512438594662e-21,"NEAT1","Up in Astrocytes"
3.77278752624076e-25,-3.67160623057583,0.017,0.623,7.37693145005855e-21,"FLJ43663","Up in Astrocytes"
3.85030713900258e-25,-4.88695497439948,0.025,0.739,7.52850554889175e-21,"BHLHE40","Up in Astrocytes"
2.487428035918e-24,-4.26596078601616,0.412,1,4.86366803863047e-20,"LRRC16A","Up in Astrocytes"
2.5820787185346e-24,-4.1577587569493,0.008,0.638,5.0487385183507e-20,"GREB1","Up in Astrocytes"
2.87184461814526e-24,-4.18970275294558,0.008,0.333,5.61531778185943e-20,"LOC100505702","Up in Astrocytes"
3.4070565842074e-24,-4.14903357272546,0.008,0.594,6.66181773910073e-20,"SLC9A9","Up in Astrocytes"
4.11173384227561e-24,-4.35630839941266,0.025,0.377,8.0396731818015e-20,"CD82","Up in Astrocytes"
5.75210721036545e-24,-3.95692036325874,0.017,0.667,1.12470952284276e-19,"IRF2","Up in Astrocytes"
6.02877346726385e-24,-5.75281547630793,0.076,0.971,1.1788060760541e-19,"DIO2","Up in Astrocytes"
8.13425108806551e-24,-4.81046696368178,0.025,0.739,1.59049011524945e-19,"ZFP36","Up in Astrocytes"
9.61272615686061e-24,-3.81243489170225,0,0.652,1.87957634545095e-19,"PYGM","Up in Astrocytes"
2.6688510022902e-23,-4.88880656075649,0.008,0.261,5.21840436477804e-19,"PLA2G5","Up in Astrocytes"
2.98886656745005e-23,-4.75335112330357,0.353,1,5.84413079933508e-19,"NTRK2","Up in Astrocytes"
3.32032568360676e-23,-4.29170185803463,0.008,0.275,6.49223280915631e-19,"IFIT2","Up in Astrocytes"
4.24249953712051e-23,-3.53972050365564,0.008,0.304,8.29535934493173e-19,"ADA","Up in Astrocytes"
5.37728104162712e-23,-4.37930287441059,0.034,0.623,1.05141976206935e-18,"CDH20","Up in Astrocytes"
5.5058245455589e-23,-4.30879823366773,0.084,0.449,1.07655387339313e-18,"PRDM16","Up in Astrocytes"
9.83762588015956e-23,-5.37411004822546,0.017,0.812,1.9235509883476e-18,"S1PR1","Up in Astrocytes"
1.58666479273295e-22,-5.36570443082425,0.067,0.957,3.10240566923074e-18,"SASH1","Up in Astrocytes"
1.91037243547848e-22,-5.35526421001733,0.151,0.855,3.73535122309107e-18,"RFTN2","Up in Astrocytes"
3.05206674138607e-22,-3.69660326943536,0.008,0.594,5.96770609943218e-18,"IGFBP7","Up in Astrocytes"
3.21953568177485e-22,-6.07682950347544,0.067,0.957,6.29515811857436e-18,"AXL","Up in Astrocytes"
3.38237257306213e-22,-3.98543175909835,0.008,0.58,6.61355309210837e-18,"RAMP1","Up in Astrocytes"
3.89805852555738e-22,-5.25290503323055,0.101,1,7.62187383502235e-18,"ACSL6","Up in Astrocytes"
4.13784845344065e-22,-4.40117993583523,0.328,1,8.09073508101251e-18,"DTNA","Up in Astrocytes"
4.31489579244155e-22,-3.74469519937483,0.025,0.609,8.43691574296097e-18,"COL4A5","Up in Astrocytes"
5.94446890930656e-22,4.25957712148341,0.849,0.275,1.16232200583671e-17,"TUBB3","Up in Neurons"
6.88874477250031e-22,-4.18756264792883,0.025,0.565,1.34695626536699e-17,"CPM","Up in Astrocytes"
1.60005851188365e-21,-4.80858164204141,0.034,0.826,3.12859440828609e-17,"RHOJ","Up in Astrocytes"
3.37977790182872e-21,-4.75728742063251,0.025,0.42,6.6084797314457e-17,"MBP","Up in Astrocytes"
4.06433386891189e-21,-5.44287441383285,0.042,0.623,7.94699201388342e-17,"HOPX","Up in Astrocytes"
